Days,Cases,Deaths
0,2,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0
7,0,0
8,0,0
9,0,0
10,4,0
11,0,0
12,1,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,4,0
24,0,0
25,0,0
26,0,0
27,3,0
28,5,0
29,3,0
30,12,0
31,4,0
32,12,0
33,36,0
34,29,1
35,48,1
36,45,0
37,69,1
38,43,2
39,61,1
40,78,2
41,136,2
42,202,1
43,342,10
44,251,14
45,152,20
46,407,16
47,676,32
48,643,41
49,714,33
50,1035,56
51,665,48
52,967,54
53,1427,87
54,1452,41
55,2129,115
56,2890,181
57,2556,260
58,2502,209
59,2665,180
60,3250,381
61,4567,563
62,4522,569
63,4672,684
64,4000,708
65,6199,621
66,4143,439
67,3888,786
68,5866,938
69,4675,890
70,5706,971
71,5234,917
72,5288,737
73,4342,717
74,5250,778
75,4605,761
76,4618,861
77,5599,847
78,5526,888
79,5850,596
80,4676,449
81,4301,823
82,4451,759
83,4583,616
84,5386,684
85,4913,813
86,4463,413
87,4310,360
88,3996,586
89,4076,765
90,6032,674
91,6201,739
92,4806,621
93,4339,315
94,3985,288
95,4406,693
96,6111,649
97,5614,539
98,4649,626
99,3896,346
100,3923,269
101,3877,210
102,3403,627
103,3242,494
104,3446,428
105,3560,384
106,3451,468
107,3142,170
108,2684,160
109,2412,545
110,2472,363
111,2615,338
112,3287,351
113,2959,282
114,2409,118
115,1625,121
116,2004,134
117,2013,412
118,1887,377
119,2095,324
120,2445,215
121,1936,113
122,1570,111
123,1613,324
124,1871,359
125,1805,176
126,1650,357
127,1557,204
128,1326,77
129,1205,55
130,1387,286
131,1003,245
132,1266,151
133,1541,202
134,1425,181
135,1514,36
136,1056,38
137,1279,233
138,1115,184
139,1218,135
140,1346,173
141,1295,128
142,1221,43
143,958,15
144,874,171
